dataset_name,cnn,encoder,fcn,mcdcnn,mlp,resnet,tlenet,twiesn
ACSF1,33.4(2.7),44.4(1.9),89.8(1.6),22.6(11.3),55.8(1.6),91.6(2.6),10.0(0.0),59.2(6.6)
Adiac,39.3(2.6),31.8(0.7),84.1(1.0),62.0(4.9),39.1(2.3),83.3(1.4),2.3(0.5),42.8(1.8)
AllGestureWiimoteX,41.1(1.3),47.5(0.7),71.3(1.3),26.1(9.2),47.7(0.8),74.1(1.1),10.0(0.0),52.2(1.3)
AllGestureWiimoteY,47.9(1.2),50.9(2.3),78.4(0.3),42.0(2.2),57.1(0.7),79.4(1.5),10.0(0.0),60.0(2.6)
AllGestureWiimoteZ,37.5(1.4),39.6(2.6),69.2(0.7),28.7(2.0),43.9(1.0),72.6(1.0),10.0(0.0),51.6(3.4)
ArrowHead,71.7(2.3),63.0(1.2),84.3(1.3),67.8(11.9),78.4(1.6),83.8(2.4),30.3(0.0),68.9(8.5)
BME,94.7(0.5),82.7(2.5),83.6(0.6),89.6(4.6),90.5(1.4),99.9(0.3),33.3(0.0),81.9(4.2)
Beef,76.7(2.4),70.7(4.3),68.0(1.8),50.7(20.2),71.3(3.8),75.3(3.8),20.0(0.0),52.7(21.3)
BeetleFly,90.0(0.0),62.0(2.7),91.0(6.5),63.0(16.0),88.0(2.7),85.0(0.0),50.0(0.0),79.0(4.2)
BirdChicken,71.0(7.4),51.0(4.2),94.0(5.5),54.0(9.6),74.0(5.5),88.0(4.5),50.0(0.0),62.0(16.0)
CBF,95.9(1.8),97.7(0.8),99.4(0.1),90.8(5.9),86.9(0.5),99.6(0.2),33.2(0.1),89.6(1.8)
Car,77.7(1.9),58.7(1.4),91.3(1.4),70.0(9.1),78.3(1.7),91.7(1.7),31.7(0.0),73.7(12.7)
Chinatown,97.7(0.2),96.6(0.5),98.0(0.0),94.5(6.4),87.2(1.9),97.8(0.2),72.6(0.0),82.5(19.7)
ChlorineConcentration,60.8(1.6),58.3(0.4),81.7(1.0),66.2(2.3),80.0(0.6),85.3(0.6),53.3(0.0),55.4(0.2)
CinCECGTorso,74.9(3.2),74.8(0.7),82.9(1.0),80.1(10.8),83.8(1.3),83.8(1.6),25.0(0.0),28.8(2.0)
Coffee,100.0(0.0),88.6(3.0),100.0(0.0),97.9(2.0),99.3(1.6),100.0(0.0),50.7(3.9),97.9(3.2)
Computers,53.9(1.8),63.0(1.1),81.9(0.7),59.0(1.5),55.8(0.8),80.6(0.9),50.0(0.0),64.1(2.5)
CricketX,53.5(1.2),64.4(0.9),79.4(0.7),51.3(8.5),59.1(1.0),79.9(1.5),7.4(0.0),62.7(2.6)
CricketY,58.2(0.9),63.9(1.4),79.3(1.4),52.1(3.0),59.8(1.0),81.0(1.4),8.5(0.0),65.2(2.2)
CricketZ,50.1(2.7),65.1(2.6),81.0(0.8),48.4(2.9),62.9(0.9),80.9(0.9),6.2(0.0),64.3(1.7)
Crop,67.0(0.3),76.0(0.2),73.8(0.2),68.7(1.0),61.8(2.0),74.3(0.0),4.2(0.0),48.9(0.7)
DiatomSizeReduction,95.4(0.8),88.0(0.5),34.6(10.2),64.6(32.0),90.9(2.8),30.1(0.0),30.1(0.0),91.4(2.9)
DistalPhalanxOutlineAgeGroup,75.8(1.0),76.1(2.2),71.8(0.9),72.9(2.9),64.7(1.0),71.8(3.0),43.3(1.9),70.5(2.4)
DistalPhalanxOutlineCorrect,77.2(2.0),72.4(1.5),76.0(1.3),75.9(1.6),72.7(0.6),77.0(1.0),58.3(0.0),71.1(2.9)
DistalPhalanxTW,67.1(1.3),69.4(1.6),69.5(1.5),68.5(0.9),61.0(2.4),66.3(1.9),28.5(1.0),59.1(4.0)
DodgerLoopDay,31.2(22.3),48.8(4.5),14.3(1.1),30.5(20.1),16.0(0.6),15.0(0.0),16.0(0.6),59.2(1.9)
DodgerLoopGame,81.6(1.1),81.0(0.3),76.8(1.6),87.7(2.3),86.5(1.0),71.0(5.8),47.8(0.0),71.6(6.4)
DodgerLoopWeekend,97.4(0.4),98.3(0.4),90.4(2.3),97.8(0.7),97.8(0.0),95.2(1.8),73.9(0.0),95.4(1.1)
ECG200,81.6(1.3),88.4(1.1),88.8(0.8),83.8(3.7),91.4(0.9),87.4(1.8),64.0(0.0),87.4(1.8)
ECG5000,92.8(0.1),94.1(0.1),94.0(0.1),93.3(0.4),93.0(0.2),93.5(0.4),58.4(0.0),92.2(0.1)
ECGFiveDays,87.4(1.9),84.2(3.0),98.5(0.3),80.0(14.4),97.3(0.5),96.6(4.3),49.7(0.0),72.3(14.1)
EOGHorizontalSignal,41.0(1.6),33.7(2.6),56.5(1.5),42.4(3.1),43.2(0.4),59.9(1.5),8.3(0.0),39.2(2.6)
EOGVerticalSignal,37.0(0.5),31.9(1.4),44.6(0.9),36.1(2.0),41.8(1.8),44.5(0.9),8.3(0.0),34.4(2.4)
Earthquakes,70.9(1.0),74.0(0.8),72.5(0.9),74.8(0.0),72.7(1.2),71.2(2.0),74.8(0.0),74.8(0.0)
ElectricDevices,68.6(0.8),70.2(0.7),70.6(0.6),65.3(1.1),59.3(0.8),72.8(0.6),24.2(0.0),60.5(0.9)
EthanolLevel,55.8(5.0),55.5(1.9),48.4(28.0),33.9(12.5),38.6(16.5),75.8(2.5),25.0(0.2),48.3(4.3)
FaceAll,77.4(1.0),79.4(0.6),93.8(1.4),72.0(0.9),79.4(0.7),86.7(2.5),8.0(0.0),67.3(2.9)
FaceFour,90.5(1.0),85.2(4.2),93.0(0.5),71.1(17.1),83.6(1.3),95.5(0.0),29.5(0.0),85.7(7.0)
FacesUCR,87.3(0.5),86.7(0.5),94.3(0.3),77.5(3.8),83.1(0.5),95.4(0.3),14.3(0.0),64.1(2.0)
FiftyWords,62.4(1.1),65.8(1.7),64.6(1.2),61.1(5.2),70.8(0.4),74.0(1.3),12.5(0.0),51.8(1.5)
Fish,85.5(1.0),73.4(4.6),96.1(0.5),72.0(4.3),84.8(0.9),98.1(0.3),12.6(0.0),87.8(6.3)
FordA,89.6(0.6),92.8(0.3),91.4(0.5),86.3(1.7),81.6(0.9),93.7(0.5),51.0(1.4),55.5(0.7)
FordB,74.9(1.5),77.7(1.0),77.2(0.4),69.8(2.5),70.7(1.0),81.3(0.6),50.3(0.4),51.2(1.4)
FreezerRegularTrain,98.7(0.1),76.0(1.0),99.7(0.0),97.3(1.6),90.6(0.4),99.8(0.1),50.0(0.0),94.6(2.5)
FreezerSmallTrain,73.9(0.5),67.6(0.3),68.3(2.4),68.8(3.1),68.6(0.7),83.2(7.8),50.0(0.0),91.7(3.0)
Fungi,96.1(1.1),93.4(1.3),1.8(2.6),5.1(2.0),86.3(1.7),17.7(6.6),6.3(2.4),43.9(2.0)
GestureMidAirD1,53.4(2.1),52.8(1.4),69.5(1.2),51.8(2.1),57.5(1.0),69.8(1.6),3.8(0.0),54.9(3.7)
GestureMidAirD2,51.8(0.9),48.0(3.8),63.1(1.5),50.0(3.4),54.5(1.0),66.8(1.8),3.8(0.0),57.5(0.6)
GestureMidAirD3,31.7(1.4),36.8(0.3),32.6(2.5),27.8(1.6),38.2(2.2),34.0(1.0),3.8(0.0),27.5(3.6)
GesturePebbleZ1,84.4(1.1),82.1(2.4),88.0(1.6),76.9(6.7),79.2(0.5),90.1(1.5),16.3(0.0),84.0(1.3)
GesturePebbleZ2,77.8(2.7),79.6(3.4),78.1(1.8),72.0(4.0),70.1(2.3),77.7(2.9),18.4(0.0),84.3(2.9)
GunPoint,94.8(1.4),78.4(2.2),100.0(0.0),90.7(4.7),92.8(1.0),99.1(0.8),49.3(0.0),98.9(0.4)
GunPointAgeSpan,91.2(3.2),89.0(1.4),99.6(0.2),88.7(3.3),93.4(0.9),99.7(0.0),49.4(0.0),96.5(3.2)
GunPointMaleVersusFemale,97.7(0.3),97.8(0.2),99.7(0.0),95.2(4.7),98.0(0.1),99.2(0.2),52.5(0.0),98.8(0.8)
GunPointOldVersusYoung,92.2(0.4),92.3(0.3),98.9(0.2),92.6(1.2),94.1(0.5),98.9(0.2),52.4(0.0),97.5(2.0)
Ham,72.0(2.6),68.2(2.2),70.7(1.8),71.8(3.3),69.9(1.6),75.8(1.4),51.4(0.0),76.8(4.7)
HandOutlines,88.3(0.6),85.7(0.9),79.9(12.1),90.4(0.8),91.4(0.4),91.4(2.7),58.4(12.6),66.1(1.0)
Haptics,37.5(1.3),39.4(1.4),49.0(0.6),39.9(1.5),42.5(0.9),51.0(1.5),20.8(0.0),41.0(1.9)
Herring,53.1(2.7),51.2(2.8),64.4(3.2),57.2(5.8),49.1(2.4),60.0(2.8),59.4(0.0),62.5(6.4)
HouseTwenty,81.5(0.6),90.1(1.8),98.2(0.4),74.1(3.3),73.4(1.0),98.3(0.0),58.0(0.0),89.9(2.0)
InlineSkate,28.9(1.3),24.1(0.9),33.2(0.5),20.3(1.9),33.5(1.2),37.7(0.6),15.6(0.4),30.9(5.6)
InsectEPGRegularTrain,71.6(0.2),69.4(2.7),99.9(0.2),64.3(3.7),64.6(0.3),99.8(0.2),47.4(0.0),88.1(1.8)
InsectEPGSmallTrain,68.2(0.7),62.7(1.5),21.8(18.2),46.0(16.9),62.7(1.0),37.2(17.0),47.4(0.0),68.1(4.2)
InsectWingbeatSound,58.5(0.7),63.0(0.9),39.2(1.1),58.7(2.1),60.4(0.6),49.9(0.6),9.1(0.0),43.5(3.8)
ItalyPowerDemand,95.4(0.1),96.4(0.2),96.3(0.1),96.6(0.4),95.3(0.2),96.2(0.3),49.9(0.0),87.1(3.7)
LargeKitchenAppliances,66.0(3.9),72.1(2.9),90.3(0.3),42.9(1.3),47.0(0.9),90.1(0.7),33.3(0.0),78.4(0.9)
Lightning2,64.9(2.5),71.5(1.9),73.4(1.4),64.6(5.5),68.2(1.9),78.0(3.4),54.1(0.0),69.2(2.9)
Lightning7,64.7(1.1),69.6(1.8),82.5(2.0),55.9(5.4),61.6(2.9),82.7(2.1),26.0(0.0),60.8(10.5)
Mallat,92.3(1.7),81.8(2.3),96.7(0.4),86.1(7.5),92.3(0.9),97.4(0.3),12.3(0.0),66.6(5.4)
Meat,91.3(1.4),78.7(2.7),80.3(24.4),78.7(6.2),89.3(1.5),99.0(1.5),33.3(0.0),97.0(1.8)
MedicalImages,67.1(1.1),66.4(0.5),77.8(1.0),62.7(2.4),71.9(0.8),77.0(0.9),51.4(0.0),64.9(3.1)
MelbournePedestrian,81.3(1.1),88.4(0.3),91.2(0.2),84.0(1.7),86.3(0.6),90.9(0.2),10.0(0.2),73.0(0.8)
MiddlePhalanxOutlineAgeGroup,53.4(3.0),57.7(2.9),53.5(1.8),55.8(3.1),52.2(1.3),54.5(1.2),57.1(0.0),57.8(0.5)
MiddlePhalanxOutlineCorrect,74.4(2.4),75.2(1.0),79.5(1.4),79.6(3.0),75.5(1.4),82.6(1.3),57.0(0.0),74.3(3.3)
MiddlePhalanxTW,55.1(1.2),59.7(1.5),50.1(1.0),56.2(2.3),53.6(1.5),49.5(1.9),28.6(0.0),56.9(1.5)
MixedShapesRegularTrain,85.0(0.4),81.8(0.5),95.5(0.2),86.0(2.0),90.7(0.1),97.3(0.1),27.0(0.0),71.5(5.4)
MixedShapesSmallTrain,74.3(0.6),75.1(0.5),89.3(0.7),70.9(2.0),84.1(0.2),91.7(1.1),27.0(0.0),70.5(3.9)
MoteStrain,88.5(1.0),87.2(0.8),93.6(0.4),69.1(20.8),85.5(0.3),92.4(0.6),53.9(0.0),80.9(4.0)
NonInvasiveFetalECGThorax1,86.1(0.3),87.3(0.4),95.8(0.1),90.2(1.0),91.5(0.6),94.1(0.2),2.9(0.0),48.6(2.6)
NonInvasiveFetalECGThorax2,89.6(0.6),89.9(0.3),95.3(0.2),91.0(1.2),91.8(0.2),94.4(0.3),2.9(0.0),51.7(1.0)
OSULeaf,48.2(1.3),55.4(0.7),97.9(0.5),41.9(4.2),56.0(0.5),98.0(0.6),18.2(0.0),62.8(2.2)
OliveOil,40.0(0.0),40.0(0.0),72.0(18.0),40.0(0.0),65.3(8.7),84.7(5.1),40.0(0.0),84.0(4.3)
PLAID,64.1(1.2),72.8(2.1),90.4(0.8),62.5(5.0),62.5(0.2),94.0(0.5),16.1(0.1),53.3(3.7)
PhalangesOutlinesCorrect,79.9(1.1),74.5(1.6),81.8(0.8),79.5(2.1),75.6(2.1),84.5(0.6),61.3(0.0),65.6(0.5)
Phoneme,9.5(0.2),17.4(0.7),32.8(0.6),12.2(3.4),9.4(0.4),33.3(0.6),11.3(0.0),13.2(2.4)
PickupGestureWiimoteZ,60.8(4.6),49.6(3.6),74.4(3.0),41.2(12.0),60.4(1.7),70.4(3.0),10.0(0.0),61.6(5.7)
PigAirwayPressure,6.1(0.6),5.3(0.8),17.2(3.6),2.4(1.5),6.5(0.4),40.6(4.4),1.9(0.0),16.2(0.8)
PigArtPressure,9.9(0.7),9.7(1.1),98.7(0.9),2.9(1.4),10.5(0.9),99.1(0.5),1.9(0.0),66.9(1.5)
PigCVP,7.1(0.6),6.6(0.6),83.1(2.4),1.5(0.4),7.6(0.9),91.8(1.2),1.9(0.0),51.9(4.5)
Plane,96.2(1.0),96.4(1.2),100.0(0.0),95.2(2.1),97.7(0.5),100.0(0.0),14.3(0.0),100.0(0.0)
PowerCons,96.0(1.4),97.1(0.6),86.3(0.9),92.9(2.1),97.7(0.5),87.9(2.1),50.0(0.0),85.2(1.6)
ProximalPhalanxOutlineAgeGroup,81.2(1.5),87.2(0.5),82.5(0.4),83.9(1.1),84.9(0.7),84.7(1.8),48.8(0.0),83.9(0.7)
ProximalPhalanxOutlineCorrect,80.7(1.9),76.8(2.1),90.7(0.6),86.6(2.2),73.0(2.1),92.0(0.7),68.4(0.0),81.7(2.2)
ProximalPhalanxTW,77.7(0.5),79.1(1.4),76.1(1.8),77.5(1.7),76.7(0.8),77.3(0.9),34.1(1.3),78.4(1.4)
RefrigerationDevices,43.7(1.5),46.1(2.2),49.7(2.0),39.1(3.6),37.7(1.1),53.0(0.9),33.3(0.0),51.0(0.7)
Rock,88.0(2.0),78.4(2.6),63.2(4.1),62.8(27.7),85.2(3.0),55.2(2.3),36.4(7.7),45.6(10.7)
ScreenType,39.8(1.3),41.4(2.2),62.2(1.7),40.6(1.8),40.2(1.3),61.5(2.9),33.3(0.0),42.7(1.3)
SemgHandGenderCh2,80.0(0.6),88.5(1.5),81.6(1.4),84.6(5.2),82.2(0.8),82.4(1.3),47.0(16.4),76.8(1.1)
SemgHandMovementCh2,45.5(2.7),48.4(2.6),47.6(2.7),42.9(1.5),43.5(2.5),43.9(2.0),16.7(0.0),42.6(2.1)
SemgHandSubjectCh2,79.0(2.0),84.1(1.0),74.2(1.6),84.1(2.3),81.7(1.5),73.9(0.7),20.0(0.0),66.4(2.0)
ShakeGestureWiimoteZ,58.0(2.0),75.6(4.3),88.4(1.7),51.6(18.1),54.8(2.3),88.0(3.2),10.0(0.0),86.4(2.2)
ShapeletSim,49.7(1.0),51.0(1.7),70.6(4.2),49.8(3.5),51.3(2.3),78.2(17.4),50.0(0.0),54.6(8.2)
ShapesAll,61.7(0.9),67.9(1.0),89.4(0.4),59.9(3.1),77.6(0.9),92.6(0.7),1.7(0.0),64.3(2.1)
SmallKitchenAppliances,62.6(1.5),77.3(0.6),77.7(0.4),47.1(4.5),38.0(1.5),78.1(1.3),33.3(0.0),67.4(3.2)
SmoothSubspace,97.6(0.9),96.4(0.4),97.5(0.3),96.3(2.8),98.0(0.9),98.0(0.5),33.3(0.0),84.9(3.4)
SonyAIBORobotSurface1,69.0(3.2),72.9(1.0),95.8(1.4),65.5(17.8),69.2(1.7),96.1(0.8),42.9(0.0),72.5(6.1)
SonyAIBORobotSurface2,83.1(0.8),84.4(0.8),98.0(0.4),80.4(3.6),83.1(0.3),97.5(0.6),61.7(0.0),63.5(7.7)
StarLightCurves,92.6(0.4),90.7(1.6),96.5(0.3),93.6(0.8),95.0(0.4),97.2(0.2),57.7(0.0),84.9(0.1)
Strawberry,95.2(1.0),95.9(0.5),97.5(0.4),95.8(0.9),95.9(0.2),98.0(0.3),64.3(0.0),91.1(2.1)
SwedishLeaf,88.4(0.9),90.2(0.8),96.7(0.3),84.1(2.4),84.5(0.2),96.3(0.4),6.4(0.0),83.7(0.7)
Symbols,80.8(0.7),75.4(1.1),95.5(1.1),64.4(27.1),83.6(1.2),89.3(4.2),17.4(0.0),79.8(3.4)
SyntheticControl,98.7(0.5),97.3(0.4),98.9(0.4),95.3(3.3),97.3(0.3),99.7(0.2),16.7(0.0),87.9(0.5)
ToeSegmentation1,59.8(2.3),70.6(5.8),96.1(1.1),55.9(3.1),58.9(1.1),95.7(0.5),52.6(0.0),88.2(3.5)
ToeSegmentation2,75.2(2.6),70.2(3.4),88.9(2.5),64.9(9.8),74.5(2.0),89.4(1.3),81.5(0.0),79.4(4.8)
Trace,95.2(0.4),74.0(14.8),100.0(0.0),90.2(7.0),80.6(0.5),100.0(0.0),24.0(0.0),93.4(1.8)
TwoLeadECG,87.7(1.6),78.4(0.9),99.9(0.0),80.6(15.9),75.3(0.8),100.0(0.0),50.0(0.0),94.9(2.9)
TwoPatterns,99.1(0.1),100.0(0.0),87.0(0.2),97.6(0.2),94.8(0.3),100.0(0.0),25.9(0.0),87.5(1.1)
UMD,96.0(1.3),77.1(4.6),98.8(0.3),84.2(11.6),94.9(2.1),99.0(0.4),33.3(0.0),83.5(3.2)
UWaveGestureLibraryAll,92.2(0.5),93.7(0.4),81.8(0.2),92.8(1.0),95.4(0.2),86.1(0.3),12.8(0.0),58.1(5.2)
UWaveGestureLibraryX,72.1(1.5),77.1(0.8),75.4(0.4),72.6(1.6),76.8(0.3),78.1(0.3),12.7(0.3),60.8(1.2)
UWaveGestureLibraryY,62.6(0.3),67.6(0.5),64.2(0.5),63.9(1.0),69.9(0.3),66.6(0.8),12.1(0.0),49.7(1.1)
UWaveGestureLibraryZ,63.0(1.3),68.4(0.8),72.7(0.2),64.5(1.3),69.7(0.2),74.9(0.2),12.1(0.0),57.3(1.7)
Wafer,96.1(0.0),99.8(0.0),99.7(0.0),99.2(0.3),99.6(0.0),99.8(0.1),89.2(0.0),91.6(0.2)
Wine,51.9(4.5),55.6(2.9),61.1(10.4),50.0(0.0),54.1(5.9),72.2(13.2),50.0(0.0),74.4(8.0)
WordSynonyms,56.8(0.5),55.7(1.4),56.1(0.5),47.0(6.0),59.9(0.2),61.7(0.9),21.9(0.0),50.6(2.0)
Worms,41.6(2.4),56.6(3.3),78.2(1.4),42.6(3.2),45.7(2.3),76.1(4.2),42.9(0.0),47.5(3.5)
WormsTwoClass,55.1(1.7),68.3(2.4),74.3(2.1),59.0(2.0),60.8(2.1),74.8(2.4),57.1(0.0),55.6(3.0)
Yoga,78.6(0.3),75.3(0.9),83.7(0.3),74.1(3.5),85.6(0.3),86.7(0.4),53.6(0.0),62.6(1.2)
